::1 - - [11/Jun/2022:17:46:38 +0000] "GET /api/ HTTP/1.1" 200 261 "-" "PostmanRuntime/7.29.0"
::ffff:127.0.0.1 - - [11/Jun/2022:17:56:57 +0000] "POST /api/ HTTP/1.1" 401 30 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:56:57 +0000] "GET /api/ HTTP/1.1" 401 37 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:56:57 +0000] "GET /api/undefined HTTP/1.1" 401 37 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:56:57 +0000] "PUT /api/undefined HTTP/1.1" 401 37 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:56:57 +0000] "GET /api/undefined HTTP/1.1" 401 37 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:57:09 +0000] "POST /api/ HTTP/1.1" 401 30 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:57:09 +0000] "GET /api/ HTTP/1.1" 401 37 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:57:10 +0000] "GET /api/undefined HTTP/1.1" 401 37 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:57:10 +0000] "PUT /api/undefined HTTP/1.1" 401 37 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:57:10 +0000] "GET /api/undefined HTTP/1.1" 401 37 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:58:16 +0000] "POST /api/ HTTP/1.1" 401 30 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:58:16 +0000] "GET /api/ HTTP/1.1" 401 37 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:58:16 +0000] "GET /api/undefined HTTP/1.1" 401 37 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:58:16 +0000] "PUT /api/undefined HTTP/1.1" 401 37 "-" "-"
::ffff:127.0.0.1 - - [11/Jun/2022:17:58:16 +0000] "GET /api/undefined HTTP/1.1" 401 37 "-" "-"
